"Time","Voltage","Excitation_Voltage","Ratio","Force (lbs)"
161.3997,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
161.3997,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
161.4396,0.00399,14.95209,-7.917766002701887e-07,0.4019653758856767
161.4397,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
161.4397,0.004,14.93912,1.092854885613209e-07,-0.05548153667765718
161.4397,0.00399,14.94141,-6.010326982416598e-07,0.3051294195684095
161.4796,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
161.4797,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
161.4797,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
161.4798,0.00399,14.94598,-6.826858806333264e-07,0.3465827185685665
161.5196,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
161.5197,0.004,14.95132,-1.091963136282581e-07,0.05543626477207682
161.5197,0.004,14.95743,-2.184823527024479e-07,0.110918080931487
161.5197,0.004,14.95056,-9.559638633260337e-08,0.04853191841282566
161.5596,0.00399,14.9498,-7.509003459191753e-07,0.381213513631353
161.5596,0.004,14.94522,0,0
161.5596,0.004,14.95667,-2.048935343599602e-07,0.1040193743127056
161.5597,0.00399,14.95438,-8.326403356638144e-07,0.4227108825752989
161.5996,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
161.5997,0.00401,14.94293,7.102291850199865e-07,-0.3605657722444889
161.5997,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
161.5997,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
161.6396,0.004,14.95285,-1.365709216209873e-07,0.06933367546565569
161.6397,0.00399,14.94675,-6.964387226309323e-07,0.3535646959358915
161.6397,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
161.6397,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
161.6796,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
161.6797,0.004,14.95819,-2.320697901958329e-07,0.1178160865273683
161.6797,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
161.6797,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
161.7196,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
161.7197,0.00399,14.93759,-5.327415931646721e-07,0.2704597163812323
161.7197,0.004,14.95056,-9.559638633260337e-08,0.04853191841282566
161.7197,0.004,14.94522,0,0
161.7596,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
161.7596,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
161.7597,0.004,14.94522,0,0
161.7597,0.004,14.95895,-2.45655847050559e-07,0.1247133912071866
161.7996,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
161.7997,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
161.7997,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
161.7997,0.004,14.94522,0,0
161.8396,0.004,14.95743,-2.184823527024479e-07,0.110918080931487
161.8397,0.00399,14.94675,-6.964387226309323e-07,0.3535646959358915
161.8397,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
161.8397,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
161.8796,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
161.8797,0.00399,14.95132,-7.78033580170652e-07,0.3949883848528151
161.8797,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
161.8797,0.00399,14.94446,-6.555332532438753e-07,0.3327980019311211
161.9196,0.00401,14.95056,5.732748800279424e-07,-0.2910374625337664
161.9197,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
161.9197,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
161.9197,0.004,14.93835,1.230868862446576e-07,-0.06248816456440836
161.9596,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
161.9597,0.00399,14.9437,-6.419548681749362e-07,0.3259045920269966
161.9597,0.00399,14.93912,-5.60097982486526e-07,0.2843478779066949
161.9597,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
161.9996,0.004,14.94522,0,0
161.9997,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
161.9997,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
161.9997,0.00399,14.94141,-6.010326982416598e-07,0.3051294195684095
162.0396,0.00399,14.95056,-7.644676526932575e-07,0.3881012993594729
162.0397,0.00401,14.9498,5.869101933522855e-07,-0.2979597735036388
162.0397,0.00399,14.94293,-6.281964115665032e-07,0.3189197642607702
162.0397,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
162.0796,0.00399,14.94751,-7.100115668570218e-07,0.3604552928912904
162.0797,0.00399,14.94903,-7.371531150961804e-07,0.3742343849184476
162.0797,0.004,14.93912,1.092854885613209e-07,-0.05548153667765718
162.0797,0.00399,14.94217,-6.146152457147985e-07,0.3120249426220867
162.1196,0.004,14.95667,-2.048935343599602e-07,0.1040193743127056
162.1197,0.004,14.93912,1.092854885613209e-07,-0.05548153667765718
162.1197,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
162.1197,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
162.1595,0.004,14.94903,-6.821339124785499e-08,0.0346302498002897
162.1596,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
162.1596,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
162.1596,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
162.1996,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
162.1998,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
162.1998,0.00399,14.95514,-8.461993335449891e-07,0.4295944500842145
162.1998,0.00399,14.93835,-5.463310882973809e-07,0.277358766589652
162.2396,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
162.2397,0.004,14.94522,0,0
162.2397,0.00399,14.94217,-6.146152457147985e-07,0.3120249426220867
162.2397,0.004,14.94903,-6.821339124785499e-08,0.0346302498002897
162.2796,0.00399,14.95209,-7.917766002701887e-07,0.4019653758856767
162.2797,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
162.2797,0.004,14.95438,-1.639399281577855e-07,0.08322824243874818
162.2797,0.004,14.93835,1.230868862446576e-07,-0.06248816456440836
162.3196,0.004,14.95056,-9.559638633260337e-08,0.04853191841282566
162.3197,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
162.3197,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
162.3197,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
162.3595,0.00399,14.94064,-5.872700238127981e-07,0.298142450519183
162.3597,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
162.3597,0.004,14.94522,0,0
162.3598,0.00399,14.93454,-4.781908904259616e-07,0.24276567525434
162.3996,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
162.3997,0.004,14.94522,0,0
162.3997,0.004,14.95361,-1.501666837363971e-07,0.07623590726602468
162.3997,0.004,14.94522,0,0
162.4395,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
162.4396,0.004,14.94903,-6.821339124785499e-08,0.0346302498002897
162.4396,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
162.4396,0.004,14.94522,0,0
162.4796,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
162.4797,0.00401,14.94751,6.280039287004315e-07,-0.3188220454754643
162.4797,0.004,14.95361,-1.501666837363971e-07,0.07623590726602468
162.4797,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
162.5196,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
162.5197,0.00399,14.95132,-7.78033580170652e-07,0.3949883848528151
162.5197,0.00399,14.94751,-7.100115668570218e-07,0.3604552928912904
162.5197,0.00399,14.95056,-7.644676526932575e-07,0.3881012993594729
162.5595,0.00401,14.9498,5.869101933522855e-07,-0.2979597735036388
162.5596,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
162.5596,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
162.5596,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
162.5996,0.004,14.94903,-6.821339124785499e-08,0.0346302498002897
162.5997,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
162.5997,0.004,14.96048,-2.730025380683499e-07,0.1385966291438024
162.5997,0.00399,14.94064,-5.872700238127981e-07,0.298142450519183
162.6395,0.004,14.94903,-6.821339124785499e-08,0.0346302498002897
162.6396,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
162.6396,0.00399,14.9559,-8.597569533962579e-07,0.4364773180014662
162.6396,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
162.6796,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
162.6797,0.00399,14.94522,-6.691102573264519e-07,0.3396907107426621
162.6797,0.00399,14.95667,-8.734915578504981e-07,0.4434500366195787
162.6797,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
162.7196,0.00399,14.95361,-8.189015243535193e-07,0.4157360282405274
162.7197,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
162.7197,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
